"Avg_Slope","K_final","MeanSlope30m","PercentForestedLand","MEAN","PM_rank","Culvert_Count","Surface","StreamCros","HYDROGROUP","PARENT","Mean_TopoConvergence_50m","damaged"
1.11585227,0.32,1.580698231,0.25,5.533432978,7,1,"Paved","Yes","B","A",8.682769153895,"No"
1.47260125,0.2,3.920203599,0.1,5.570160196,7,1,"Paved","No","B/D","A",6.79936331931991,"No"
1.7466739,0.2,8.250834361,0.1,5.602389348,7,1,"Paved","No","B/D","A",6.72719755503211,"No"
1.19165933,0.2,10.38749463,0.789473684,5.623835817,7,2,"Paved","No","B/D","A",6.29564456736788,"No"
1.33609661,0.2,6.691694708,0.523809524,5.626835929,7,2,"Paved","No","B/D","A",7.08955101292542,"No"
3.23345353,0.1,12.38696617,0.35,5.615550995,6,0,"Paved","No","A","GF",6.38099062563193,"No"
1.54288254,0.24,11.08052298,0.210526316,5.606467575,6,1,"Paved","No","A","GF",5.59577928757181,"No"
2.93146408,0.24,4.233019354,0.052631579,5.601550591,6,0,"Paved","No","A","GF",6.66347378730774,"No"
9.49073116,0.55,4.892142931,0.347826087,5.58602785,7,0,"Paved","Yes","A","A",7.34723228739019,"No"
6.45620743,0.32,9.87069641,0.05,6.658937114,5,1,"Unpaved","No","B","GT",6.69049702509485,"No"
4.13979842,0.55,4.109906091,0,6.796258521,5,0,"Unpaved","No","D","DT/GT",7.08195957950517,"No"
3.41117816,0.32,4.015634162,0,6.800058341,5,1,"Unpaved","No","B","GT",7.27287672080246,"No"
5.19859086,0.32,3.327865664,0,6.802576258,5,0,"Unpaved","No","B","GT",6.80027450696386,"No"
3.16796229,0.32,2.352921558,0,6.803964468,5,0,"Unpaved","No","B","GT",7.56664896493006,"No"
1.87929785,0.32,2.350799741,0,6.804232029,5,0,"Unpaved","No","B","GT",6.93493578948227,"No"
1.39413714,0.32,1.836607751,0,6.803441915,5,0,"Unpaved","No","B","GT",6.82751532356338,"No"
2.27175253,0.32,2.766589717,0.111111111,6.801699412,5,0,"Unpaved","No","B","GT",6.41261186222039,"No"
3.1376568,0.32,2.94295641,0.111111111,6.800222583,5,0,"Unpaved","No","B","GT",6.34195023775101,"No"
8.23896593,0.32,7.455644963,0.05,6.67998246,5,1,"Unpaved","No","B","GT",6.92170969330438,"No"
10.19812518,0.32,8.202915537,0.45,6.716761667,5,0,"Unpaved","No","B","GT",6.05737037103153,"No"
2.89972656,0.55,4.243309254,0.8,6.782642105,5,0,"Unpaved","No","D","DT/GT",6.70854182195182,"No"
7.34615489,0.55,9.495877723,0.85,6.83097847,5,1,"Unpaved","No","D","DT/GT",6.2728094792366,"No"
9.66866429,0.55,14.18893312,0.789473684,6.819407145,5,1,"Unpaved","No","D","DT/GT",5.60941677141671,"No"
6.12050947,0.32,5.776665437,0,6.819875065,5,1,"Unpaved","No","B","GT",7.24655717434269,"No"
4.44862706,0.55,4.706835727,0.333333333,6.848141175,5,0,"Unpaved","No","D","DT/GT",6.43430265272506,"No"
3.19321742,0.55,2.27152243,0.277777778,6.806164875,5,0,"Unpaved","No","D","DT/GT",7.5836616897583,"No"
